G,AG,dist,mass,radius,lum,MG,teff,logg,met
15,0.113,48818.3997,4.72,49.454,3.316,-3.556,5506.778,1.66,-1.806
15,6.044,2551.0105,4.214,23.66,3.081,-3.077,6953.344,2.31,-0.502
15,1.462,663.753,0.786,0.955,0.128,4.428,6325.359,4.347,-1.708
15,1.033,1372.8205,1.157,2.702,0.608,3.279,4955.988,3.623,-0.041
15,4.22,33007.1898,12.659,295.346,4.641,-6.813,4832.081,0.668,-0.42
15,5.652,33499.6039,22.339,441.215,5.174,-8.277,5372.482,0.515,-0.267
15,0.07,292134.8353,14.358,304.189,4.831,-7.398,5310.41,0.603,0.166
15,5.537,4749.0192,5.55,60.822,3.449,-3.92,5360.048,1.591,-0.239
15,2.16,877.3235,1.137,1.193,0.649,3.125,7638.935,4.328,-1.456
15,1.254,32833.3507,4.821,48.681,3.417,-3.836,5881.948,1.682,-2.033
15,6.564,20.291,0.644,0.54,-0.817,6.9,4880.324,4.799,-1.004
15,5.484,4760.112,5.332,69.661,3.455,-3.872,5025.8,1.437,-1.316
15,2.507,471.5481,1.144,1.11,0.212,4.125,6155.403,4.39,-0.029
15,4.071,328.4238,0.889,2.261,0.551,3.347,5242.561,3.77,-1.142
15,1.979,48969.4001,7.903,140.852,4.065,-5.429,5022.484,1.055,-0.96
15,0.431,3982.6803,1.564,2.384,1.256,1.568,7660.59,3.896,-1.112
15,2.438,735.8948,0.948,2.121,0.594,3.228,5549.743,3.763,-1.08
15,1.185,54854.555,6.968,100.838,3.841,-4.881,5219.015,1.244,-0.511
15,4.786,288.7252,0.962,3.338,0.747,2.911,4830.377,3.407,-0.382
15,0.72,1821.3479,0.861,2.631,0.709,2.978,5322.376,3.538,-1.326
15,2.645,11558.6311,4.084,37.552,3.082,-2.96,5523.074,1.866,-2.509
15,6.493,5785.4342,7.381,85.368,3.986,-5.305,6163.863,1.36,-1.002
15,0.849,55997.3772,6.091,81.734,3.714,-4.59,5385.169,1.336,-0.643
15,6.398,334.9846,0.889,8.046,1.518,0.976,4849.652,2.626,-1.324
15,0.413,9424.1269,2.339,6.779,1.983,-0.284,6905.653,3.094,-0.729
15,0.416,51343.1637,5.171,42.168,3.439,-3.968,6401.915,1.854,-0.495
15,3.239,30113.2298,7.97,98.698,4.116,-5.633,6176.564,1.385,-1.362
15,1.605,1167.2447,1.333,1.182,0.669,3.059,7762.027,4.675,-0.716
15,1.896,24139.7368,5.366,67.728,3.443,-3.81,5064.271,1.466,-0.576
15,6.624,158.3436,1.118,2.425,0.936,2.378,6319.279,3.687,-1.33
15,0.046,677.5964,0.794,0.697,-0.431,5.799,5367.888,4.689,-0.774
15,0.737,6318.3008,0.942,10.757,1.803,0.26,4942.501,2.435,-1.72
15,1.548,1739.7731,1.408,1.958,0.977,2.25,7201.045,3.989,-0.589
15,1.297,992.2432,0.828,1.192,0.416,3.72,6681.457,4.174,-1.949
15,6.211,485.6368,1.933,3.947,1.737,0.358,7856.89,3.53,-1.157
15,1.131,2360.3246,1.573,2.604,1.062,2.004,6554.585,3.784,-0.231
15,1.463,235.1169,0.618,0.487,-0.76,6.681,5311.391,4.951,-2.619
15,0.07,2043.9675,1.199,0.998,0.559,3.378,7928.252,4.617,-1.805
15,1.397,6139.1344,2.674,5.173,1.993,-0.338,7953.181,3.397,0.132
15,4.659,524.9729,1.719,2.229,1.171,1.74,7548.574,3.967,-0.183
15,2.399,18167.3609,2.124,118.025,3.565,-3.696,4113.522,0.58,-1.273
15,0.907,49195.3545,5.619,44.553,3.6,-4.367,6832.209,1.904,-1.304
15,0.079,2633.7876,1.467,1.31,0.752,2.818,7730.226,4.443,-0.269
15,1.663,9704.9441,3.338,11.827,2.499,-1.598,7036.591,2.749,-0.505
15,5.059,2245.9973,3.806,26.391,2.623,-1.816,5059.12,2.182,-0.363
15,1.506,16493.6445,3.778,50.972,3.007,-2.593,4538.742,1.574,-0.403
15,6.022,43.4374,0.839,0.749,-0.423,5.789,5201.398,4.612,-0.221
15,2.798,812.5756,1.49,2.904,0.822,2.653,5408.54,3.658,0.115
15,1.135,1080.2732,1.117,0.923,0.436,3.697,7682.306,4.674,-2.405
15,6.372,836.2855,2.649,16.323,2.282,-0.984,5286.808,2.429,-0.921
15,3.33,379.1243,0.885,1.493,0.362,3.776,5788.141,4.098,-0.605
15,1.132,13968.2841,2.577,11.432,2.621,-1.858,7675.936,2.719,-2
15,0.454,913.2488,0.956,0.798,-0.009,4.743,6393.263,4.664,-1.049
15,1.196,30611.8268,4.703,41.123,3.308,-3.625,6009.784,1.851,-0.861
15,0.167,596.661,0.808,0.668,-0.477,5.954,5338.855,4.808,-0.293
15,3.101,2853.4745,1.751,15.503,2.082,-0.378,4834.987,2.285,-0.82
15,6.043,8221.3393,9.441,239.376,4.253,-5.618,4292.989,0.652,-0.773
15,1.108,93656.5929,9.061,211.164,4.315,-5.966,4734.669,0.745,-1.515
15,0.021,5176.5555,1.395,2.712,1.326,1.409,7481.369,3.616,-1.724
15,0.079,3891.2434,1.638,1.954,1.084,1.971,7664.118,4.043,-0.251
15,2.529,1065.2386,1.073,5.055,1.006,2.334,4556.64,3.103,0.042
15,2.21,146.5455,0.56,0.489,-0.869,6.96,4977.818,4.793,-2.223
15,6.727,1230.8966,3.697,16.134,2.732,-2.178,6888.501,2.544,-1.062
15,5.556,6003.8275,6.287,51.808,3.623,-4.448,6419.52,1.796,0.037
15,1.979,3934.8278,2.26,5.284,1.842,0.046,7213.103,3.303,-0.404
15,5.11,376.1934,1.098,2.327,1.089,2.013,7044.598,3.664,-2.226
15,1.736,1644.8959,1.405,2.18,1.003,2.184,6926.806,3.873,-0.603
15,5.505,50.325,0.726,0.58,-0.495,5.986,5669.118,4.887,-1.529
15,1.144,3706.3562,1.639,3.835,1.474,1.012,6847.348,3.478,-1.087
15,1.984,4373.3806,2.204,9.078,1.962,-0.188,5894.002,2.876,-1.679
15,0.458,39624.3803,4.99,62.117,3.305,-3.448,4881.973,1.515,-1.179
15,5.753,23022.5652,15.184,639.556,5.036,-7.564,4121.553,0.046,-1.143
15,0.926,3056.2078,1.448,3.778,1.222,1.648,5968.247,3.424,-1.22
15,0.448,19220.1755,3.748,15.749,2.592,-1.867,6430.893,2.557,-0.191
15,0.74,1848.3148,0.941,2.229,0.721,2.926,5824.712,3.7,-1.453
15,1.242,78023.368,8.23,123.264,4.145,-5.703,5621.877,1.215,-1.164
15,0.889,74066.2943,7.124,75.256,3.946,-5.237,6415.475,1.523,-0.689
15,1.884,1640.9726,1.328,2.737,1.062,2.04,6393.746,3.655,-0.908
15,1.221,423.3669,0.738,0.737,-0.371,5.646,5400.93,4.508,-0.877
15,2.877,10527.0953,4.037,32.125,3.066,-2.989,5915.326,2.037,-1.328
15,0.638,154153.6423,11.436,325.177,4.606,-6.578,4513.779,0.439,-1.207
15,0.325,10750.2543,1.44,16.837,2.128,-0.482,4761.831,2.128,-1.042
15,0.88,1853.0411,0.894,2.097,0.787,2.781,6235.603,3.864,-2.22
15,0.365,12446.421,2.577,6.917,2.214,-0.84,7809.89,3.145,-1.348
15,5.882,3471.1292,4.7,82.569,3.407,-3.584,4490.466,1.249,-0.885
15,0.651,11617.2107,0.892,20.666,2.307,-0.977,4766.243,1.829,-2.101
15,6.542,42.1198,0.719,0.717,-0.236,5.336,5917.327,4.55,-1.742
15,1.163,2759.0084,1.303,2.66,1.236,1.634,7172.411,3.634,-1.75
15,2.281,825.305,1.159,1.229,0.64,3.136,7484.23,4.31,-1.283
15,0.423,163265.605,10.003,134.339,4.441,-6.488,6382.62,1.186,-1.268
15,0.32,12496.3462,3.337,14.377,2.203,-0.804,5381.057,2.619,-0.066
15,1.82,1259.498,0.909,1.907,0.833,2.679,6714.501,3.858,-2.524
15,0.548,50022.1997,5.155,38.4,3.468,-4.044,6820.801,1.974,-0.608
15,0.91,2593.7376,1.053,2.716,1.092,2.021,6533.108,3.631,-2.616
15,1.063,5159.4558,2.434,4.315,1.698,0.374,7345.656,3.537,0.2
15,0.202,3687.1683,1.561,2.007,1.089,1.965,7585.632,4.015,-0.413
15,2.062,31495.7301,6.734,108.147,3.761,-4.553,4812.751,1.147,-0.489
15,6.989,174.1639,1.484,2.007,1.166,1.807,7929.458,3.981,-1.198
15,1.684,7683.8057,3.183,8.998,2.286,-1.112,7137.292,3.039,0.205
15,0.632,2946.419,1.053,2.715,1.092,2.021,6534.632,3.554,-2.475
15,2.843,290.8748,0.954,0.829,-0.056,4.839,6104.888,4.599,-0.566
15,1.803,1575.4147,1.473,3.261,0.993,2.21,5629.882,3.593,-0.31
15,4.254,8050.5232,5.355,48.658,3.377,-3.783,5749.396,1.793,-0.349
15,0.671,11469.6445,2.806,7.635,2.255,-0.969,7610.128,3.115,-0.799
15,4.348,108.2111,0.707,0.686,-0.289,5.481,5868.574,4.575,-2.034
15,2.369,679.647,1.171,1.214,0.493,3.47,6917.456,4.322,-0.554
15,0.502,23836.9664,4.063,14.565,2.813,-2.388,7595.393,2.772,-0.393
15,1.504,36486.1211,6.248,61.887,3.581,-4.315,5735.863,1.626,-0.054
15,0.78,34850.2712,2.463,107.625,3.463,-3.491,4062.977,0.774,-0.681
15,0.03,5458.0071,1.012,8.932,1.469,1.285,4474.346,2.55,0.004
15,0.32,13993.5932,3.344,14.003,2.284,-1.05,5713.285,2.638,-0.066
15,1.634,1212.1978,1.093,1.781,0.697,2.949,6428.47,3.93,-0.576
15,0.024,39709.9779,3.738,26.326,3.072,-3.018,6560.107,2.15,-1.469
15,2.433,762.8364,1.31,1.155,0.629,3.155,7671.86,4.44,-1.003
15,2.06,2484.1762,1.828,4.419,1.476,0.964,6385.978,3.42,-0.38
15,4.003,1255.686,1.734,3.974,1.683,0.502,7588.653,3.52,-1.732
15,4.69,2890.6411,3.283,20.792,2.669,-1.995,5852.695,2.313,-1.184
15,0.444,4127.1567,1.424,2.886,1.293,1.477,7113.48,3.557,-1.341
15,1.881,10564.2209,0.864,41.556,2.761,-2,4364.009,1.203,-1.716
15,0.5,1816.0748,1.205,1.224,0.606,3.205,7358.498,4.329,-0.747
15,0.827,5288.9677,2.361,3.685,1.632,0.557,7650.503,3.675,0.22
15,3.793,51.8592,0.539,0.484,-1.07,7.633,4457.288,4.785,-0.667
15,0.003,2133.879,0.822,1.403,0.566,3.351,6712.753,4.105,-2.605
15,4.653,1617.3587,2.682,7.457,2.138,-0.697,7199.718,3.06,-0.457
15,2.797,661.2846,1.139,1.84,0.627,3.101,6070.829,3.945,-0.23
15,0.172,5411.8197,1.943,3.252,1.394,1.161,7102.734,3.68,-0.143
15,4.812,12685.1649,7.755,89.186,3.979,-5.329,6006.923,1.405,-0.175
15,3.797,2080.7984,2.6,9.838,2.031,-0.388,5893.217,2.775,-0.609
15,3.315,19294.673,2.923,201.166,3.99,-4.743,4024.596,0.28,-1.335
15,1.098,1152.4988,0.922,1.078,0.473,3.594,7257.818,4.319,-2.25
15,0.94,3161.8122,1.344,3.778,1.269,1.561,6131.627,3.34,-1.808
15,0.306,2049.7899,0.95,1.194,0.655,3.135,7659.629,4.179,-2.321
15,3.268,5670.7703,3.782,14.492,2.668,-2.036,7005.515,2.63,-0.438
15,4.203,596.9443,1.396,2.619,1.107,1.918,6708.911,3.668,-0.539
15,2.171,2061.4053,1.393,2.639,1.394,1.258,7884.274,3.667,-2.147
15,0.84,463.4573,0.675,0.645,-0.438,5.83,5554.384,4.581,-1.704
15,5.175,257.6743,1.026,4.142,0.84,2.769,4575.033,3.225,0.106
15,3.001,57886.3955,13.375,399.926,4.729,-6.814,4367.271,0.341,0.249
15,2.934,1734.473,2.022,4.186,1.505,0.87,6671.334,3.466,0.075
15,0.625,12841.8168,2.467,11.204,2.337,-1.168,6587.436,2.719,-1.416
15,0.256,4839.0405,1.505,2.577,1.358,1.32,7813.578,3.708,-1.249
15,4.857,240.869,1.402,1.327,0.568,3.234,6908.597,4.428,0.048
15,3.49,1524.766,1.962,4.623,1.628,0.594,6814.929,3.404,-0.446
15,0.996,35108.3698,5.779,30.801,3.332,-3.723,7040.767,2.162,0.062
15,5.571,3556.9988,5.047,59.09,3.257,-3.326,4869.048,1.557,-0.608
15,2.076,877.6897,1.23,2.01,0.584,3.207,5668.967,3.904,0.239
15,2.118,71225.7259,11.686,313.203,4.532,-6.381,4406.43,0.54,-0.906
15,0.351,12700.3795,2.674,6.879,2.222,-0.87,7867.793,3.119,-1.024
15,3.955,151.5816,0.854,0.711,-0.157,5.141,6222.645,4.657,-1.633
15,2.535,25107.3848,6.018,84.953,3.698,-4.534,5233.729,1.343,-0.705
15,1.482,234.2388,0.776,0.662,-0.7,6.67,4713.608,4.717,0.106
15,0.227,46502.3353,4.963,50.548,3.304,-3.564,5409.37,1.677,-0.334
15,6.348,1349.3105,3.744,15.202,2.65,-1.998,6767.827,2.687,-0.344
15,0.477,243015.195,19.195,693.192,5.061,-7.405,4015.812,0.013,-0.183
15,3.526,26276.5271,8.792,192.331,4.197,-5.623,4636.337,0.824,-0.831
15,2.762,3211.8176,2.365,6.683,1.983,-0.295,6956.66,3.159,-0.908
15,2.242,889.3748,1.387,1.914,0.651,3.012,6037.758,4.004,0.184
15,0.082,764.8559,0.841,0.697,-0.314,5.5,5737.783,4.775,-0.553
15,4.246,848.0071,2.254,7.125,1.487,1.112,5060.567,3.012,0.214
15,0.674,1613.2329,0.959,1.214,0.589,3.288,7312.446,4.243,-1.938
15,2.02,224.0826,0.767,0.658,-0.579,6.228,5071.099,4.768,-0.349
15,3.154,650.3425,1.349,1.792,0.753,2.781,6614.98,4.059,-0.236
15,0.203,33134.0518,3.834,27.343,2.989,-2.804,6134.425,2.119,-1.283
15,2.491,3781.7479,2.699,9.668,2.013,-0.38,5883.427,2.851,-0.3
15,4.108,479.8496,1.051,2.858,0.899,2.487,5697.184,3.526,-1.562
15,0.15,2999.7098,1.157,2.622,0.895,2.465,5937.305,3.675,-1.123
15,0.899,78012.0662,7.391,88.969,3.998,-5.36,6079.671,1.403,-0.586
15,1.208,17916.0145,4.074,16.724,2.846,-2.474,7223.171,2.522,-0.811
15,0.409,3128.5789,1.524,2.453,1.019,2.114,6590.906,3.812,-0.265
15,0.838,2144.3393,1.055,1.918,0.892,2.505,6926.295,3.857,-1.608
15,5.332,3725.1773,4.407,32.076,3.134,-3.187,6158.996,2.037,-0.416
15,0.195,810.6164,0.83,0.672,-0.205,5.261,6226.882,4.723,-1.535
15,5.094,93.0441,0.983,0.925,-0.149,5.063,5479.419,4.485,0.188
15,6.927,108.2476,1.506,1.415,0.701,2.901,7226.161,4.521,0.093
15,2.11,1127.2667,1.198,3.698,0.868,2.629,4921.902,3.363,-0.175
15,5.753,4490.3148,5.888,65.25,3.486,-4.014,5287.002,1.559,-0.117
15,5.275,141.9961,0.81,1.08,0.321,3.964,6644.479,4.266,-1.993
15,5.597,6378.2019,5.871,52.075,3.698,-4.621,6687.821,1.75,-0.922
15,1.312,1198.442,0.928,1.489,0.573,3.295,6543.756,4.032,-1.413
15,2.967,390.3362,0.962,0.906,0.284,4.075,7104.643,4.494,-2.335
15,0.948,33276.9978,5.162,64.231,3.333,-3.559,4880.076,1.543,-0.883
15,0.877,12299.4377,3.78,24.402,2.463,-1.326,4798.311,2.225,-0.084
15,0.045,72887.4122,5.638,48.212,3.609,-4.358,6599.656,1.809,-1.75
15,1.474,10318.3184,2.968,18.051,2.493,-1.543,5674.74,2.38,-0.661
15,3.563,25801.8542,8.441,128.455,4.114,-5.621,5409.092,1.116,0.136
15,0.196,199.9866,0.448,0.362,-1.327,8.299,4446.242,4.948,-1.562
15,3.146,243.7075,0.852,0.826,-0.085,4.919,6014.018,4.513,-1.051
15,1.94,6641.4686,2.202,12.856,2.301,-1.051,6020.711,2.557,-1.592
15,2.826,515.7369,1.16,1.012,0.456,3.612,7418.403,4.512,-1.483
15,4.922,578.4672,2.108,5.929,1.377,1.266,5208.618,3.223,-0.1
15,3.745,498.762,1.343,1.394,0.777,2.766,7605.207,4.269,-0.523
15,4.096,242.5589,0.954,0.929,0.322,3.98,7168.48,4.48,-2.273
15,0.165,2867.273,0.906,3.741,0.882,2.547,4931.756,3.315,-1.056
15,1.208,6312.1187,2.273,5.058,1.96,-0.209,7890.653,3.412,-0.664
15,0.813,12362.0835,2.628,13.721,2.382,-1.273,6106.767,2.563,-1.211
15,3.845,4197.2603,3.255,20.628,2.654,-1.96,5826.064,2.302,-0.884
15,0.077,972.1544,0.858,0.694,-0.075,4.984,6601.398,4.893,-2.583
15,1.201,27177.4315,4.578,47.824,3.251,-3.372,5394.808,1.645,-2.257
15,5.401,758.2381,2.266,6.082,1.772,0.2,6454.579,3.291,-0.237
15,0.478,4746.8488,1.58,2.958,1.424,1.14,7578.296,3.668,-1.205
15,4.787,411.3051,1.409,2.063,1.022,2.142,7198.01,3.929,-0.674
15,2.536,28880.7375,7.514,43.696,3.784,-4.839,7669.708,2.001,0.146
15,0.144,11667.4901,1.811,10.944,2.081,-0.479,5751.899,2.606,-1.721
15,4.904,2919.1583,4.171,32.071,2.796,-2.23,5068.071,2.017,-0.287
15,0.241,647.3367,0.793,0.669,-0.392,5.703,5601.058,4.755,-1.044
15,3.197,218.7982,0.808,0.865,-0.166,5.103,5612.446,4.449,-0.439
15,1.665,22248.0005,3.313,78.883,3.352,-3.401,4450.484,1.132,-1.054
15,3.251,405.0683,1.11,0.892,0.433,3.711,7800.347,4.566,-2.509
15,2.078,65.1788,0.351,0.323,-1.548,8.851,4142.253,4.881,-2.082
15,5.744,495.0141,1.957,4.575,1.544,0.783,6528.612,3.466,-0.276
15,0.653,2037.0468,1.041,1.41,0.779,2.802,7571.273,4.145,-1.873
15,0.154,1969.1185,1.252,1.108,0.539,3.375,7440.102,4.466,-0.982
15,5.792,320.391,1.848,3.073,1.178,1.68,6452.156,3.694,0.264
15,1.582,432.9235,0.884,0.832,-0.215,5.236,5560.66,4.526,-0.165
15,1.416,1301.674,1.33,1.475,0.663,3.011,6923.612,4.196,-0.204
15,0.451,277539.8407,15.974,322.384,4.935,-7.667,5477.886,0.544,0.189
15,0.777,38878.805,5.779,31.093,3.332,-3.725,7007.555,2.203,-0.019
15,3.67,25950.7441,8.119,82.43,4.143,-5.74,6865.254,1.514,-1.141
15,4.272,20507.8918,10.907,296.615,4.394,-5.832,4181.222,0.503,-0.148
15,0.033,1851.7998,1.265,1.172,0.416,3.629,6738.614,4.394,-0.141
15,3.087,251.1532,0.797,0.855,-0.084,4.914,5918.03,4.46,-1.026
15,4.365,709.2209,1.606,3.28,1.314,1.381,6752.783,3.644,-0.486
15,5.086,1156.2352,2.473,6.821,2.021,-0.401,7035.268,3.126,-0.481
15,0.25,25454.3153,3.558,31.195,2.81,-2.279,5181.496,1.994,-0.698
15,3.33,12347.8281,5.032,60.072,3.409,-3.788,5271.85,1.526,-1.702
15,6.192,254.177,1.882,4.711,1.179,1.782,5213.806,3.373,-0.05
15,1.43,589.6628,0.813,0.809,0.023,4.717,6470.493,4.515,-2.091
15,5.147,12938.5308,8.826,80.833,4.144,-5.707,6939.154,1.607,-1.775
15,3.14,454.142,1.137,0.924,0.488,3.574,7910.912,4.648,-2.642
15,4.242,30.5708,0.475,0.386,-1.311,8.332,4344.368,4.919,-0.638
15,2.23,7425.1137,3.509,16.378,2.5,-1.584,5982.327,2.607,-0.363
15,0.8,9192.907,3.095,12.023,2.117,-0.617,5598.899,2.748,-0.038
15,5.265,541.4582,1.552,4.079,1.462,1.067,6596.44,3.317,-1.456
15,0.855,25848.5713,3.858,22.987,3.022,-2.917,6818.102,2.301,-0.725
15,5.234,533.0607,1.623,3.015,1.424,1.132,7505.543,3.68,-0.692
