index par epar mag
74 24.22 1.36 10.112
75 1.6 0.79 7.588
76 2.29 1.19 9.258
77 3.53 1.12 8.411
78 1.17 0.96 8.2
79 4.57 0.99 8.735
80 15.59 1.43 8.472
81 23.43 1.28 8.656
82 1.82 1.37 9.582
83 2.28 1.3 9.028
84 18.9 1.33 9.7
85 3.9 2.06 10.593
86 3.47 0.78 8.053
87 4.52 1.08 7.843
88 5.97 0.7 5.807
89 2.6 0.96 8.058
90 9.35 0.92 7.697
91 4.21 1.23 7.804
92 4.77 1.44 8.774
93 16.74 1.28 8.202
94 10.48 1.48 10.099
95 7.85 1.17 8.724
96 19.83 5.16 10.693
97 6.49 1.44 9.914
98 5.52 1.74 9.521
99 1.27 0.7 7.383
100 4.49 1.08 8.54
101 7.35 1.74 9.891
102 3 0.82 7.232
103 9.15 0.76 8.347
104 8.16 1.21 9.404
105 4.44 0.75 7.774
106 4.5 0.73 6.326
107 5.84 0.61 5.722
108 0.3 0.86 8.664
109 5.33 0.94 7.252
110 20.42 1.91 8.887
111 27.11 2.33 NA
112 31.35 4.17 NA
113 0.27 1.09 8.937
114 9.93 1.95 8.091
115 4.73 0.67 7.471
116 8.29 0.97 8.639
117 0.36 0.87 8.677
118 12.08 1.33 9.274
119 7.49 0.83 6.929
120 2.83 1.09 8.443
121 3.66 0.83 6.967
122 14.77 0.47 4.928
123 5.07 0.7 7.341
124 0.86 0.56 5.618
125 5.08 1.06 8.752
126 2.94 0.95 8.165
127 11.27 2.15 10.866
128 15.2 0.63 6.521
129 6.6 1.3 9.395
130 2.93 1.38 9.243
131 8.11 0.83 8.142
132 1.89 1.91 10.642
133 3.51 0.79 6.682
134 1.3 1.71 9.958
135 20.1 1.22 8.724
136 5.84 0.78 6.724
137 2.45 0.69 6.238
138 6.34 1.89 7.954
139 1.62 1.45 10.129
140 8.98 0.93 9.102
141 5.61 1.1 8.609
142 16.04 0.69 7.414
143 3.57 0.75 8.825
144 20.05 1.64 10.36
145 7.98 0.71 5.106
146 4.39 1.29 8.988
147 -0.13 1.19 8.645
148 22.92 2.17 NA
149 4.22 0.96 8.235
150 7.5 0.84 7.177
151 5.1 1.42 10.069
152 5.54 1.23 8.935
153 7.56 1.37 7.824
154 7.86 0.94 4.588
155 2.28 1.39 9.907
156 3.09 0.84 8.606
157 6.87 1.28 8.622
158 7.03 0.89 7.202
159 16.92 0.81 6.968
160 2.07 0.8 8.649
161 2.38 1.09 9.119
162 2.71 1.33 9.941
163 2.92 1.26 8.973
164 4.41 0.82 8.077
165 -0.59 1.74 10.203
166 9.46 1.18 8.947
167 3.5 0.9 8.573
168 1.95 1.34 9.66
169 63.03 1.98 9.295
170 5.96 2.02 9.68
171 80.63 3.03 NA
172 1.27 1.11 9.18
173 1.31 1.03 8.493
174 3.89 1.83 8.963
175 3.98 0.87 7.929
176 3.82 1.07 8.931
177 5.47 1.25 8.951
178 9.02 2.5 7.997
179 14.91 0.9 6.956
180 2.8 1.12 8.598
181 2.51 0.64 6.975
182 3.32 1.16 8.659
183 6.4 0.87 5.009
184 29.75 1.21 8.541
185 11.74 1.8 8.555
186 7.55 0.82 6.354
187 6.69 1.38 9.052
188 10.49 1.23 8.691
189 2.49 1.41 9.57
190 10.47 1.17 8.779
191 22.98 4.38 NA
192 3.31 1.11 8.269
193 4.77 1.47 9.535
194 26.53 0.77 5.735
195 8.08 1 7.668
196 0.98 1.18 9.126
197 1.62 1.16 9.088
198 5.12 1.11 8.958
199 4.07 0.88 7.241
200 3.17 1.67 10.312
201 10.06 0.99 8.292
202 2.6 1.1 8.631
203 2.16 1.59 9.297
204 2.53 1 8.685
205 8.84 1.25 8.586
206 9.32 1.02 8.626
207 2.46 1.07 9.441
208 1.57 1.67 5.963
209 -0.69 9.62 7.294
210 7.65 1.93 9.158
211 3.88 1.36 9.593
212 6.18 2.04 10.327
213 7.8 0.95 7.8
214 3.36 0.99 8.197
215 2.73 0.63 7.304
216 3.49 0.94 9.501
217 3.21 0.89 7.945
218 4.14 1.05 8.524
219 10.78 1.28 8.605
220 6.27 0.81 7.54
221 7.68 1.11 7.734
222 2.62 1.16 8.981
223 1.25 1.47 9.138
224 21.58 1.65 7.336
225 7.23 1.56 9.087
226 0.63 1.67 10.331
227 8.72 7.25 9.826
228 9.53 0.87 7.697
229 2.16 2.57 8.54
230 8.62 1.31 8.507
231 4.59 1.21 9.63
232 5.18 1.11 8.421
233 2.5 1.03 8.617
234 2.91 1.08 9.656
235 2.6 1.31 9.329
236 2.96 1.08 8.225
237 6.32 1.32 9.096
238 16.16 0.96 6.308
239 4.77 1.27 8.612
240 3.36 2.03 10.799
241 2.37 1.28 8.871
242 7.41 0.93 7.868
243 4.11 0.8 7.925
244 3.49 0.74 7.965
245 3.31 1.13 8.63
246 18.29 1.56 9.887
247 6.08 1.68 9.192
248 9.03 1.17 8.1
249 13.24 1.03 8.844
250 5.19 1.99 8.263
251 -0.53 1.21 8.82
252 -0.95 2.86 10.502
253 6.78 0.88 6.587
254 5.96 0.76 6.729
255 11.84 1.16 8.008
256 4.73 1.44 9.512
257 3.15 1.18 8.884
258 6.28 0.78 6.716
259 0.54 1.23 8.825
260 6.1 1.44 9.616
261 8.21 2.41 9.191
262 4.31 1.25 9.161
263 32.93 3.49 NA
264 3.69 0.9 8.56
265 3.38 1.13 8.215
266 1.06 0.94 9.219
267 11.66 1.42 8.147
268 0.24 1.01 8.341
269 3.82 1.02 8.917
270 4.7 0.63 7.402
271 4.81 1.11 9.165
272 1.39 1.31 8.9
273 1.86 2.09 11.217
274 0.93 0.57 6.296
275 5.68 4.61 9.536
276 15.55 0.95 7.555
277 15.84 0.81 7.007
278 2.79 0.95 7.949
279 0.81 0.87 8.683
280 4.83 0.97 8.163
281 2.88 1.1 8.651
282 1.62 0.97 8.063
283 4.99 0.99 7.482
284 2.11 1.04 9.1
285 1.38 1.06 8.671
286 0.11 0.93 9.32
287 1.19 1.4 9.346
288 5.49 0.97 8.031
289 3.48 1.17 8.793
290 15.26 1.03 7.844
291 1.46 1.04 8.166
292 2.92 0.79 8.104
293 13.14 0.97 8.359
294 8.63 1.11 7.932
295 2.83 1.45 9.727
296 25.29 1.11 8.325
297 6.42 0.75 6.805
298 2.81 1.03 8.294
299 9.67 0.86 8.476
300 14.31 0.92 4.539
301 6.04 0.85 7.487
302 3.31 0.6 6.522
303 5.15 0.98 8.16
304 6.16 1 8.281
305 20.44 0.96 7.738
306 14.36 2.44 8.664
307 16.27 2.71 NA
308 13.9 0.84 7.126
309 4.59 1.04 8.562
310 12.24 1.44 9.635
311 6.36 0.9 8.47
312 -0.56 0.85 8.69
313 10.62 1.46 7.947
314 5.58 1.02 8.33
315 6.67 0.97 9.643
316 5.48 1.25 7.214
317 5.53 0.62 7.963
318 2.07 1.37 9.512
319 1.2 0.84 8.241
320 6.48 4.13 NA
321 9.88 1.18 8.977
322 3.93 0.97 7.771
323 8.18 1 8.576
324 6.15 0.89 7.474
325 14.48 1.07 8.65
326 0.82 1.22 8.938
327 2.04 1.28 9.681
328 4.24 0.92 7.063
329 9.2 1.5 9.879
330 0.89 0.58 5.927
331 1.88 2.21 10.899
332 6.58 0.94 8.466
333 5.54 1.44 9.066
334 0.07 0.98 8.802
335 5.57 1.09 8.89
336 1.47 0.77 7.823
337 11.87 1.49 9.728
338 -1.21 1.79 10.847
339 4.12 0.84 8.568
340 14.91 1.01 8.176
341 0.58 1.57 9.517
342 7.92 1.55 9.697
343 11.29 0.92 5.898
344 6.82 2.4 NA
345 7.75 0.91 6.378
346 5.27 1.12 8.915
347 2.46 0.85 7.771
348 16.79 1.13 8.667
349 4.1 1.06 7.747
350 21.14 1.62 10.498
351 22.52 1.48 9.841
352 12.99 1.76 10.414
353 5.72 6.2 NA
354 3.01 1.4 9.343
355 2.03 0.93 5.129
356 9.89 1.1 8.501
357 10.92 0.64 7.375
358 0.95 0.79 9.02
359 17.09 0.88 9.159
360 4.67 0.93 9.436
361 3.4 0.93 8.86
362 -0.43 1.49 9.287
363 2.15 1.05 8.43
364 1.99 1.57 9.36
365 1.59 1.32 9.082
366 1.94 1.12 6.106
367 1.38 0.79 9.151
368 4.83 1.03 8.042
369 1.26 1.47 9.447
370 2.46 0.81 7.283
371 0.81 2.56 11.006
372 4.15 0.66 7.577
373 1.39 1.34 8.815
374 6.13 1.59 7.181
375 6.13 1.59 NA
376 4.04 1.18 8.465
377 5.7 0.53 5.571
378 11.46 0.84 7.422
379 10.3 0.58 5.802
380 7.35 1.12 8.659
381 2.46 1.14 8.697
382 4.16 1.2 9.095
383 4.08 1.2 8.852
384 5.84 1.2 8.224
385 9.37 2.81 9.506
386 -0.59 1.02 9.182
387 1.61 0.92 8.526
388 5.46 1.38 9.182
389 5.65 1.16 8.282
390 4.86 2.61 NA
391 6.95 1.91 8.051
392 10.47 1.53 8.014
393 3.05 1.34 9.31
394 27.18 4.3 6.176
395 3.15 1.1 8.299
396 2.91 0.97 7.973
397 3.73 1.1 8.719
398 2.13 0.82 6.575
399 5.34 0.77 6.41
400 39.06 0.93 7.902
401 3.49 1.2 8.798
402 6.02 0.81 8.2
403 11.56 1.31 9.067
404 1.55 1.04 8.269
405 14.53 1.21 7.407
406 1.67 1.1 8.847
407 22.09 0.71 8.196
408 4.41 1.1 8.312
409 8.49 0.77 8.451
410 7.63 0.76 6.574
411 -0.99 1.46 9.989
412 6.19 1.54 8.735
413 19.78 0.87 7.815
414 1.96 0.95 8.736
415 8.38 1.24 9
416 8.73 1.17 8.89
417 6.95 0.81 6.426
418 4.5 0.56 5.783
419 5.12 1.34 9.073
420 23.9 0.85 7.597
421 NA NA NA
422 2.53 0.69 7.563
423 5.43 1.9 7.816
424 14.25 0.83 8.199
425 6.66 0.75 6.695
426 1.42 1.2 8.832
427 6.64 8.01 9.387
428 11.12 1.22 8.746
429 86.98 1.41 10.131
430 6.27 0.87 7.218
431 2.45 0.9 8.145
432 10.35 0.81 6.903
433 -0.08 1.69 9.606
434 1.4 1.32 9.129
435 10.28 1.33 9.362
436 62.48 0.82 8.6
437 3.18 1.04 8.379
438 2.21 1.04 8.056
439 5.31 0.63 7.08
440 4.29 0.83 7.04
441 4.33 1.15 8.372
442 25.38 1.05 4.738
443 229.33 1.08 8.74
444 1.29 1.02 8.911
445 9.55 0.76 7.436
446 1.69 1.27 8.332
447 5.05 0.64 7.851
448 6.75 1.03 7.023
449 9.89 1.18 9.207
450 3.3 1.34 9.109
451 4.55 0.99 8.675
452 2.61 1.46 10.047
453 4.65 0.92 7.703
454 4.76 0.99 7.491
455 6.35 13.02 NA
456 4.79 0.99 7.897
457 2.01 0.96 7.713
458 3.07 0.93 7.124
459 18.57 0.95 8.897
460 22.2 1.14 9.232
461 11.04 0.91 7.913
462 19.81 0.94 7.19
463 -1.03 1.35 9.53
464 0.75 22.3 NA
465 3.94 1.45 8.926
466 3.52 0.83 7.361
467 6.89 1.46 9.789
468 4.25 0.72 7.481
469 2.3 0.82 7.512
470 0.47 0.94 8.43
471 2.52 1.1 9.6
472 4.25 0.78 7.117
473 85.1 2.74 8.299
474 7 1.01 8.403
475 21.03 1.06 8.288
476 8.75 0.8 5.646
477 5.59 1.7 10.016
478 2.19 1.68 9.735
479 1.87 1.29 8.722
480 1.32 1.52 10.144
481 7.28 1.45 10.219
482 5.95 1.68 7.724
483 4.01 0.94 9.211
484 -0.26 1.41 9.701
485 2.62 1.01 8.481
486 6.18 1.34 9.4
487 11.21 1.34 9.511
488 7.92 1.61 10.111
489 13.23 1.74 10.451
490 24.85 0.92 7.574
491 2.92 1.19 9.055
492 26.24 0.82 7.514
493 6.5 1.46 9.629
494 12.99 0.94 9.057
495 25.77 2.07 8.655
496 5.31 0.73 7.071
497 7.05 1.15 7.635
498 4.26 0.91 7.953
499 0.87 1.53 9.79
500 1.54 1.37 9.818
501 4.19 1.14 8.7
502 2.9 0.77 6.772
503 3.07 1.01 7.973
504 5.66 0.82 7.614
505 0.08 0.65 7.394
506 1.33 1.08 8.653
507 1.8 0.83 8.68
508 3.28 0.85 6.754
509 13.05 1.67 9.714
510 11.07 1 7.851
511 5.34 1.01 8.336
512 4.39 0.96 7.916
513 2.09 1.2 9.065
514 5.66 1.65 9.923
515 7.38 1.55 8.77
516 -0.16 1.12 8.805
517 5.95 1.14 8.901
518 49.3 1.05 6.266
519 5.38 1.67 7.861
520 2.35 1.15 7.846
521 4.71 1.03 8.347
522 39 0.64 5.763
523 56.92 2.73 NA
524 7.24 1.32 8.789
525 8.6 0.73 7.062
526 4.78 0.82 7.998
527 3.09 0.8 8.22
528 4.69 1.62 10.191
529 6.73 0.9 7.357
530 8.11 0.91 8.423
531 3.32 0.54 5.564
532 4.6 1.18 9.877
533 -1.67 1.78 9.262
534 3.63 1.27 9.141
535 5.95 1.54 10.112
536 2.9 1.34 10.018
537 3.91 1.56 9.369
538 13.26 2.41 NA
539 6.15 1.06 8.879
540 5.13 0.79 6.799
541 10.02 3.4 9.752
542 4.21 1.09 8.07
543 2.04 1.67 10.297
544 72.98 0.75 6.155
545 4 1.09 8.648
546 5.02 0.87 7.834
547 5.61 1.12 8.606
548 2.44 0.98 8.407
549 -0.29 2.47 NA
550 2.41 1.12 8.658
551 5.29 6.06 10.897
552 1.92 2.72 10.622
553 2.3 10.4 9.902
554 9.89 1.59 9.968
555 4.82 1.5 9.808
556 9.08 1.09 8.27
557 6.36 0.97 8.78
558 1.65 0.76 8.222
559 0.55 1.1 8.99
560 25.59 0.75 6.23
561 3.17 2.2 NA
562 3.69 1 8.329
563 4.96 0.97 8.041
564 0.77 1.61 10.241
565 6.64 1.23 9.034
566 1.34 1.33 9.233
567 3.69 0.8 7.028
568 1.16 1.17 8.902
569 18.71 1.05 8.31
570 3.82 3.43 NA
571 3.82 3.43 10.297
572 2 1.14 8.962
573 3.73 0.94 7.726
574 4.04 1.13 9.001
575 2.89 1.9 10.458
576 3.75 1.18 8.967
577 15.97 1.47 9.711
578 8.4 0.93 8.333
579 0.43 1.15 8.525
580 4.01 1.06 8.295
581 7.12 0.92 7.471
582 4.4 1.07 9.462
583 4.41 0.71 8.227
584 7.89 2.34 8.746
585 4.33 1.16 8.667
586 6.74 2.27 10.707
587 5.14 1.01 8.453
588 5.85 1.26 9.215
589 4.84 0.88 8.429
590 3.28 1.1 9.155
591 4.03 0.9 8.03
592 -0.66 2.25 11.021
593 4.19 1.28 8.871
594 6.51 1.2 9.369
595 6.34 2 10.349
596 11.92 0.61 7.597
597 4.23 0.74 7.899
598 3.54 1 8.117
599 17.18 1 8.292
600 2.2 1.24 8.626
601 17.98 2.35 9.23
602 6.24 0.85 6.219
603 5.87 1.72 7.718
604 8.23 1.18 9.006
605 2.87 0.87 7.651
606 20.63 0.91 7.106
607 9.37 0.84 7.438
608 1.52 2.42 9.108
609 7.19 1.22 8.269
610 7.21 1.14 8.62
611 2.19 0.77 8.493
612 7.51 0.77 7.526
613 1.63 1.06 8.609
614 2.41 1.07 9.48
615 5.48 0.94 8.597
616 30.76 1.21 8.789
617 10.08 0.93 8.56
618 8.86 1.46 8.4
619 6.05 0.77 6.991
620 2.5 0.69 7.698
621 2.53 0.57 7.378
622 8.21 0.99 8.279
623 2.74 1.26 7.686
624 9.73 1 8.381
625 5.37 0.8 7.497
626 10.14 0.73 6.837
627 2.38 0.88 8.743
628 2.89 1.06 8.271
629 3.33 1.15 8.576
630 9.58 0.89 8.057
631 7.84 0.65 6.95
632 1.6 1.32 9.317
633 4.21 1.16 8.929
634 7.19 0.92 7.531
635 6.69 0.92 6.418
636 12.45 0.74 5.955
637 4.31 1.43 8.942
638 4.43 1.32 9.875
639 7.06 1.33 8.691
640 5.76 0.78 7.685
641 21.83 0.84 7.886
642 11.55 1.4 9.151
643 5.57 1.58 10.08
644 3.5 1.11 8.348
645 7.79 2.24 8.884
646 1.17 0.67 7.954
647 3.64 0.94 7.731
648 10.66 0.99 7.903
649 8.95 0.6 7.196
650 3.83 0.93 7.582
651 6.43 1.39 9.805
652 8.19 0.74 7.14
653 6.67 1.5 9.744
654 4.37 1.17 8.976
655 10.02 0.71 5.786
656 9.77 0.98 8.222
657 3.92 1.34 9.676
658 3.44 1.16 8.291
659 4.9 0.76 7.296
660 3.26 0.84 8.532
661 2.42 0.93 8.498
662 4.93 1.47 10.014
663 1.92 0.83 8.876
664 3.25 0.96 6.362
665 7.53 1.63 10.337
666 5.68 2.36 10.233
667 4.08 1.06 8.42
668 3.46 0.97 8.682
669 36.18 1.02 7.107
670 3.75 1.19 8.828
671 9.79 0.92 6.101
672 3.5 1.43 8.361
673 7.73 3.35 10.068
674 2.84 1.05 8.1
675 10.7 1.27 9.483
676 3.83 1.17 9.204
677 33.6 0.73 2.05
678 2.18 0.95 8.118
679 2.8 1.1 9.022
680 1.52 1.51 9.491
681 25.15 0.97 7.671
682 2.88 1.35 8.729
683 2.3 1.46 9.866
684 0.65 1.34 9.306
685 5.59 1.5 9.538
686 45.64 1.92 10.939
687 7.6 0.89 7.647
688 12.72 0.86 7.47
689 11.01 0.95 9.303
690 14.43 0.96 7.808
691 2.77 1.26 7.95
692 9.47 1.13 9.003
693 2.3 1.37 8.998
694 2.17 0.63 6.535
695 2.42 0.79 6.311
696 8.84 0.94 7.807
697 2.89 0.71 7.528
698 30.26 0.69 6.271
699 5.97 1.04 7.179
700 6.36 0.66 7.43
701 5.07 1.56 8.463
702 5.19 0.91 7.954
703 -2.92 2.5 NA
704 5.03 0.85 7.931
705 3.19 0.96 9.194
706 6.86 1.05 8.702
707 16.24 0.7 8.462
708 8.58 0.86 7.859
709 11.61 1.01 7.474
710 0.97 1.18 8.889
711 4.72 0.82 7.675
712 4.78 1.13 9.601
713 3.19 0.76 6.978
714 1.8 1.68 10.301
715 7.78 0.81 6.355
716 1.36 1.53 7.491
717 3.4 1.82 10.432
718 0.25 1.21 9.396
719 3.16 0.96 7.31
720 2.6 1.43 9.241
721 12.89 1.03 8.519
722 31.34 2.1 8.705
723 7.86 1.07 7.336
724 1.01 1.33 9.206
725 18.22 0.95 7.793
726 7.7 0.96 8.048
727 8.65 0.94 6.498
728 11.17 0.72 5.675
729 7 0.74 6.41
730 6.49 0.82 7.806
731 22.5 2.96 NA
732 10.46 1.13 8.65
733 3.89 1.6 10.385
734 6.32 1.08 9.257
735 8.35 1.16 9.28
736 16.09 0.75 7.039
737 42.82 2.61 NA
738 4.32 1.37 9.365
739 8.73 0.77 7.173
740 0.11 1.41 9.912
741 2.98 1.01 8.334
742 1.37 1.61 8.562
743 3.15 0.72 7.021
744 6.75 1.19 9.319
745 59.89 0.56 2.318
746 4.8 2.04 8.796
747 5.87 1.08 9.323
748 4.36 1.46 9.41
749 12.2 9.4 10.734
750 4.56 1.26 9.994
751 6.48 1.77 9.929
752 17.75 1.21 9.438
753 22.07 2.31 7.859
754 17.03 0.69 7.132
755 5.08 2 NA
756 1.97 1.11 8.963
757 7.75 1.28 9.657
758 19.28 0.79 7.143
759 8.56 1.17 6.067
760 14.57 1.34 5.486
761 11.89 1.31 9.155
762 1.42 1.15 8.264
763 6.32 1.2 9.005
764 23.28 0.98 3.993
765 7.58 1.2 8.618
766 4.96 0.74 7.172
767 13.8 1.3 8.031
768 4.21 1 7.403
769 1.88 1.4 9.661
770 2.08 1.14 8.097
771 16.26 0.98 8.597
772 5.36 0.88 7.699
773 1.78 1.37 9.269
774 4.57 0.82 8.199
775 3.03 1.5 9.819
776 8.17 1.89 8.992
777 4.45 1.34 9.927
778 4.76 2.01 9.712
779 2.91 1.13 8.975
780 1.4 2.33 NA
781 3.25 1.5 8.469
782 -0.54 1.36 9.469
783 0.55 1.21 9.366
784 4.31 0.7 7.604
785 6.9 1.41 8.402
786 23.86 1.59 9.619
787 6.24 1.42 9.596
788 0.16 1.39 10.101
789 13.92 1.11 8.622
790 5.62 1.04 8.576
791 12.54 1.23 8.513
792 3.57 1.05 8.553
793 17.08 1.86 8.95
794 1.31 1.92 NA
795 14.21 4.23 8.635
796 4.58 1.13 8.422
797 7.37 0.57 6.356
798 2.27 1.15 8.071
799 5.18 1.15 8.479
800 18.8 1.05 8.368
801 1.52 1.13 7.911
802 2.68 1.06 7.059
803 8.36 0.83 8.868
804 4.44 0.79 7.295
805 1.7 1.1 8.649
806 5.8 1.28 8.83
807 7.14 1.07 9.083
808 4.37 0.77 8.032
809 6.14 0.89 7.671
810 -0.35 2.7 10.413
811 1.27 1.07 9.148
812 10.04 0.86 5.53
813 13.45 0.5 5.397
814 9.63 0.81 8.183
815 7.21 1.55 7.498
816 1.56 0.89 9.206
817 10.24 1.21 7.142
818 11.15 0.68 7.936
819 1.08 0.93 9.481
820 4.59 1.12 9.05
821 7.73 0.7 8.416
822 10.83 2.1 10.731
823 3.13 0.9 7.98
824 4.15 1.03 8.63
825 3.05 1.08 8.746
826 6.95 1.59 10.117
827 3.6 1.01 8.82
828 4.95 1.42 9.406
829 3.21 0.6 7.124
830 8.5 2.9 8.803
831 -2.57 1.52 9.41
832 6.1 1.56 9.546
833 4.74 0.83 8.282
834 3.93 1.13 8.937
835 1.12 0.83 7.993
836 2.74 1.18 9.076
837 2.98 0.81 7.206
838 5.26 0.97 9.433
839 18.18 0.92 5.957
840 3.24 0.68 5.074
841 3.85 1.39 9.872
842 2.76 1.18 9.406
843 7.14 1.38 9.557
844 4.82 1.18 9.407
845 13.53 1.28 9.027
846 10.15 1.04 8.449
847 10.35 0.82 7.804
848 3.27 1.2 8.71
849 4.92 3.74 9.618
850 6.17 1.02 8.417
851 3.65 0.87 7.347
852 4.11 2.38 9.954
853 7.48 1.29 9.01
854 1.83 1.07 7.907
855 12.91 1.06 8.286
856 6.52 0.73 6.713
857 4.74 0.76 6.969
858 7.1 0.92 7.711
859 1.66 0.61 6.702
860 3.45 1.27 8.774
861 13.51 2.44 9.989
862 5.51 0.84 8.794
863 0.66 1.37 9.941
864 15.06 0.7 6.695
865 5.16 0.87 8.288
866 15.57 1.17 8.53
867 2.91 0.97 8.289
868 8.77 1.49 9.003
869 18.2 0.91 7.553
870 1.74 2.12 9.112
871 4.38 1.15 8.633
872 15.35 0.74 5.975
873 3.75 0.81 7.851
874 7.95 1.08 8.731
875 4.86 0.81 8.157
876 1.62 0.92 8.26
877 3.48 1.04 7.783
878 9.43 1 9.458
879 8.8 0.8 7.82
880 4.7 0.82 7.001
881 2.46 0.87 7.791
882 7.77 2.24 8.314
883 2.91 1.17 8.387
884 2.95 0.8 8.072
885 4 0.9 7.909
886 2.25 0.98 7.848
887 4.41 1.82 10.223
888 16.45 0.95 8.461
889 1.02 1.19 9.02
890 1.44 1.17 9.737
891 3.61 1.11 8.05
892 4.53 1.05 8.036
893 6.25 1.13 8.948
894 12.6 1.18 8.61
895 9.37 1.25 9.19
896 39.19 2.29 NA
897 24.32 3.25 NA
898 0.9 1.37 9.172
899 3.61 0.94 7.552
900 -0.33 1.6 10.396
901 4.43 0.73 6.821
902 4.41 0.77 8.936
903 8.36 1.21 8.945
904 7.22 0.89 8.236
905 3.88 0.89 6.849
906 4.01 2.07 11.007
907 2.61 1.17 8.597
908 4.21 1.02 7.814
909 52.94 0.77 4.953
910 6.13 5.67 NA
911 4.78 1.23 9.014
912 5.09 1.26 7.828
913 15.08 1.1 8.681
914 1.58 1.05 8.45
915 35.69 5.14 9.599
916 0.82 1.19 9.15
917 6.06 0.67 7.276
918 29.35 0.95 8.028
919 18.6 0.91 8.297
920 4.63 1.57 9.816
921 11.58 1.13 8.534
922 3.47 1.9 9.483
923 20.86 2.16 8.934
924 2.54 1.14 8.196
925 2.26 0.85 7.647
926 4.31 1.11 8.393
927 4.71 0.89 7.881
928 17 0.82 8.435
929 5.61 0.92 5.562
930 9.91 1.48 7.574
931 7.77 0.88 7.037
932 21.87 24.76 10.082
933 6.73 1.13 8.712
934 27.46 1.09 9.109
935 4.04 1.09 8.446
936 7.57 1.06 7.915
937 4.78 0.59 7.301
938 3.36 1.48 9.081
939 2.16 0.77 7.117
940 8.01 0.94 8.911
941 0.53 1.02 9.217
942 20.55 1.21 8.689
943 7.11 1.08 8.004
944 2.14 1.6 7.741
945 5.08 1.17 8.775
946 6.88 1.58 8.581
947 29.15 1.54 10.121
948 4.25 0.94 8.116
949 45.85 0.66 5.292
950 1.15 0.74 7.146
951 10.91 1.15 8.481
952 9.29 1.09 8.791
953 7.81 0.96 7.56
954 16.48 1.49 9.115
955 12.79 1.43 7.572
956 1.99 0.98 7.381
957 1.34 1.1 8.305
958 4.21 1.44 9.507
959 9.92 1.46 9.704
960 10.46 1.33 9.437
961 4.77 1.28 8.869
962 3.89 1.25 9.409
963 10.93 1.05 7.948
964 2.05 0.98 7.685
965 7.97 0.79 6.639
966 5.93 0.7 6.34
967 2.85 1.26 8.712
968 6.88 0.76 6.689
969 0.15 0.9 7.982
970 10.9 0.86 7.225
971 3.49 1.01 8.291
972 6.05 0.87 6.671
973 38.88 1.22 8.83
974 17.21 0.76 7.708
975 10.57 1.33 8.71
976 0 1.19 8.795
977 2.97 0.97 8.325
978 3.11 1.44 9.049
979 6.68 0.87 7.478
980 9.42 0.74 6.9
981 3.46 0.87 7.74
982 5.33 0.87 5.445
983 4.88 1.22 9.157
984 9.81 1.21 8.287
985 10.44 0.83 7.467
986 1.79 1.24 8.989
987 -0.41 0.93 8.2
988 2.89 0.85 7.911
989 4.7 1.22 9.073
990 8.64 1.94 10.638
991 9.1 1.47 10.122
992 2.01 1.3 9.006
993 5.47 0.93 9.054
994 3.99 1.02 8.544
995 19.39 1 8.24
996 2.9 1.53 9.928
997 1.76 1.01 8.873
998 24.69 1.2 8.538
999 15.32 1.34 8.841
1000 4.61 1.4 9.171
1001 5.62 1.23 9.343
1002 21.09 1.23 8.729
1003 4.78 1.04 8.931
