y MPG.city MPG.highway EngineSize Horsepower RPM Rev.per.mile Fuel.tank.capacity Passengers Length Wheelbase Width Turn.circle Weight
12.5 30 36 1.6 90 5400 3250 12.4 4 164 97 67 37 2475
19.8 24 31 2.3 160 5800 2855 15.9 4 175 100 70 39 2865
12.1 42 46 1.5 102 5900 2650 11.9 4 173 103 67 36 2350
17.5 24 31 2.2 140 5600 2610 17 4 185 107 67 41 3040
8 29 33 1.5 81 5500 2710 11.9 5 168 94 63 35 2345
10 22 29 1.8 124 6000 2745 13.7 5 172 98 66 36 2620
10 26 34 1.5 92 5550 2540 11.9 4 166 94 64 34 2285
13.9 20 27 2 128 6000 2335 17.2 5 184 104 69 41 2885
47.9 17 22 4.5 278 6000 1955 22.5 5 200 113 72 42 4000
28 18 24 3 185 5200 2325 18.5 5 188 103 70 40 3510
35.2 18 23 3 225 6000 2510 20.6 4 191 106 71 39 3515
34.3 17 26 3.8 160 4400 1835 18.4 6 205 109 73 42 3695
36.1 18 26 4.6 210 4600 1840 20 6 219 117 77 45 4055
8.3 29 37 1.6 82 5000 2370 13.2 4 164 97 66 34 2325
11.6 28 36 1.8 103 5500 2220 14.5 5 172 98 66 36 2440
16.5 26 34 2.5 164 5600 2505 15.5 5 184 103 69 40 2970
19.1 18 24 3 155 5000 2240 19.6 7 190 110 72 39 3735
32.5 17 25 1.3 255 6500 2325 20 2 169 96 69 37 2895
31.9 20 29 2.3 130 5100 2425 14.5 5 175 105 67 34 2920
61.9 19 25 3.2 217 5500 2220 18.5 5 187 110 69 37 3525
14.1 23 26 1.6 100 5750 2475 11.1 4 166 95 65 36 2450
14.9 19 26 3.8 140 3800 1730 18 5 199 113 73 38 3610
10.3 29 33 1.5 92 6000 2505 13.2 5 172 98 67 36 2295
26.1 18 24 3 202 6000 2210 19 5 190 107 70 43 3730
11.8 29 33 1.6 110 6000 2435 13.2 5 170 96 66 33 2545
15.7 24 30 2.4 150 5600 2130 15.9 5 181 103 67 40 3050
19.1 17 23 3 151 4800 2065 20 7 190 112 74 41 4100
21.5 21 26 3 160 5200 2045 18.5 5 188 104 69 41 3200
13.5 24 31 2.3 155 6000 2380 15.2 5 188 103 67 39 2910
16.3 23 31 2.2 110 5200 2565 16.5 5 190 105 70 42 2890
19.5 18 23 3.8 170 4800 1690 20 7 194 110 74 44 3715
20.7 19 28 3.8 170 4800 1570 18 6 201 111 74 42 3470
14.4 23 30 1.8 92 5000 2360 15.9 4 173 97 67 39 2640
9 31 41 1.6 74 5600 3130 13.2 4 177 99 66 35 2350
11.1 23 31 2 110 5200 2665 15.2 5 181 101 66 39 2575
17.7 19 28 3.4 160 4600 1805 15.5 4 196 101 75 43 3240
18.5 19 27 3.4 200 5000 1890 16.5 5 195 108 72 41 3450
24.4 19 28 3.8 170 4800 1565 18 6 177 111 74 43 3495
28.7 20 26 2.1 140 6000 2910 18 5 184 99 67 37 2775
11.1 28 38 1.9 85 5000 2145 12.8 5 176 102 68 40 2495
8.4 33 37 1.2 73 5600 2875 9.2 4 146 90 60 32 2045
10.9 25 30 1.8 90 5200 3375 15.9 5 175 97 65 35 2490
19.5 23 30 2.2 130 5600 2330 15.9 5 179 102 67 37 3085
8.6 39 43 1.3 70 6000 3360 10.6 4 161 93 63 34 1965
9.8 32 37 1.5 82 5200 3505 11.9 5 162 94 65 36 2055
18.4 25 32 2.2 135 5400 2405 15.9 4 174 99 69 39 2950
18.2 22 29 2.2 130 5400 2340 18.5 5 188 103 70 38 3030
22.7 18 22 2.4 138 5000 2515 19.8 7 187 113 71 41 3785
9.1 25 33 1.8 81 5500 2550 12.4 4 163 93 63 34 2240
19.7 17 21 2.5 109 4500 2915 21.1 7 187 115 72 38 3960
20 21 30 2 134 5800 2685 18.5 5 180 103 67 35 2985
23.3 18 25 2.8 178 5800 2385 18.5 4 159 97 66 36 2810
22.7 21 28 2.3 114 5400 2215 15.8 5 190 104 67 37 2985
26.7 20 28 2.4 168 6200 2310 19.3 5 184 105 69 38 3245
